date,Jetblue,Motel6,Jetblue_pred,Motel6_pred
2020-07-05 00:00:00 UTC,8319,50911,,
2020-07-06 00:00:00 UTC,13541,55584,,
2020-07-07 00:00:00 UTC,12868,56834,,
2020-07-08 00:00:00 UTC,12280,19827,,
2020-07-09 00:00:00 UTC,11930,14170,,
2020-07-10 00:00:00 UTC,11089,33808,,
2020-07-11 00:00:00 UTC,7857,50412,,
2020-07-12 00:00:00 UTC,7929,41048,,
2020-07-13 00:00:00 UTC,12381,44810,,
2020-07-14 00:00:00 UTC,12396,54101,,
2020-07-15 00:00:00 UTC,12217,25800,,
2020-07-16 00:00:00 UTC,12096,24641,,
2020-07-17 00:00:00 UTC,10363,54856,,
2020-07-18 00:00:00 UTC,6910,30778,,
2020-07-19 00:00:00 UTC,8783,26297,,
2020-07-20 00:00:00 UTC,15976,29110,,
2020-07-21 00:00:00 UTC,13825,40689,,
2020-07-22 00:00:00 UTC,13153,14630,,
2020-07-23 00:00:00 UTC,11728,31680,,
2020-07-24 00:00:00 UTC,10512,45594,,
2020-07-25 00:00:00 UTC,7395,40236,,
2020-07-26 00:00:00 UTC,8182,38494,,
2020-07-27 00:00:00 UTC,14942,15874,,
2020-07-28 00:00:00 UTC,12980,13738,,
2020-07-29 00:00:00 UTC,12096,30283,,
2020-07-30 00:00:00 UTC,11107,60610,,
2020-07-31 00:00:00 UTC,10669,17463,,
2020-08-01 00:00:00 UTC,6904,19149,,
2020-08-02 00:00:00 UTC,8179,38632,,
2020-08-03 00:00:00 UTC,14910,61523,,
2020-08-04 00:00:00 UTC,12414,22722,,
2020-08-05 00:00:00 UTC,15892,30607,,
2020-08-06 00:00:00 UTC,17821,50564,,
2020-08-07 00:00:00 UTC,12794,64168,,
2020-08-08 00:00:00 UTC,8694,57325,,
2020-08-09 00:00:00 UTC,9534,13117,,
2020-08-10 00:00:00 UTC,13264,49863,,
2020-08-11 00:00:00 UTC,14649,16186,,
2020-08-12 00:00:00 UTC,14015,18296,,
2020-08-13 00:00:00 UTC,12649,51779,,
2020-08-14 00:00:00 UTC,11686,62494,,
2020-08-15 00:00:00 UTC,9192,53991,,
2020-08-16 00:00:00 UTC,9954,20271,,
2020-08-17 00:00:00 UTC,15601,19099,,
2020-08-18 00:00:00 UTC,14352,44928,,
2020-08-19 00:00:00 UTC,15049,63589,,
2020-08-20 00:00:00 UTC,15982,31673,,
2020-08-21 00:00:00 UTC,13083,63621,,
2020-08-22 00:00:00 UTC,9563,22162,,
2020-08-23 00:00:00 UTC,10474,14507,,
2020-08-24 00:00:00 UTC,19118,48731,,
2020-08-25 00:00:00 UTC,19355,64628,,
2020-08-26 00:00:00 UTC,17472,32530,,
2020-08-27 00:00:00 UTC,15265,16906,,
2020-08-28 00:00:00 UTC,13466,45916,,
2020-08-29 00:00:00 UTC,10712,18702,,
2020-08-30 00:00:00 UTC,10878,58284,,
2020-08-31 00:00:00 UTC,21570,35411,,
2020-09-01 00:00:00 UTC,19799,40518,,
2020-09-02 00:00:00 UTC,18924,29830,,
2020-09-03 00:00:00 UTC,16660,34384,,
2020-09-04 00:00:00 UTC,13363,28339,,
2020-09-05 00:00:00 UTC,9762,43973,,
2020-09-06 00:00:00 UTC,9963,19180,,
2020-09-07 00:00:00 UTC,13140,14805,,
2020-09-08 00:00:00 UTC,18049,18782,,
2020-09-09 00:00:00 UTC,24731,35714,,
2020-09-10 00:00:00 UTC,25766,44145,,
2020-09-11 00:00:00 UTC,15061,42491,,
2020-09-12 00:00:00 UTC,11161,23741,,
2020-09-13 00:00:00 UTC,12478,36367,,
2020-09-14 00:00:00 UTC,18003,53170,,
2020-09-15 00:00:00 UTC,17361,51265,,
2020-09-16 00:00:00 UTC,16692,61636,,
2020-09-17 00:00:00 UTC,16101,34238,,
2020-09-18 00:00:00 UTC,14405,15820,,
2020-09-19 00:00:00 UTC,10207,21322,,
2020-09-20 00:00:00 UTC,11843,56866,,
2020-09-21 00:00:00 UTC,16935,22127,,
2020-09-22 00:00:00 UTC,16584,28062,,
2020-09-23 00:00:00 UTC,15205,27186,,
2020-09-24 00:00:00 UTC,14387,17174,,
2020-09-25 00:00:00 UTC,12925,27118,,
2020-09-26 00:00:00 UTC,9337,55844,,
2020-09-27 00:00:00 UTC,11462,28836,,
2020-09-28 00:00:00 UTC,19170,27421,,
2020-09-29 00:00:00 UTC,17446,63873,,
2020-09-30 00:00:00 UTC,16926,52361,,
2020-10-01 00:00:00 UTC,12657,38207,,
2020-10-02 00:00:00 UTC,10265,52913,,
2020-10-03 00:00:00 UTC,7737,59913,,
2020-10-04 00:00:00 UTC,8687,18013,,
2020-10-05 00:00:00 UTC,10825,57222,,
2020-10-06 00:00:00 UTC,11775,54390,,
2020-10-07 00:00:00 UTC,11099,29448,,
2020-10-08 00:00:00 UTC,10020,13322,,
2020-10-09 00:00:00 UTC,8580,56190,,
2020-10-10 00:00:00 UTC,5144,5904,,
2020-10-11 00:00:00 UTC,5174,13468,,
2020-10-12 00:00:00 UTC,7113,17047,,
2020-10-13 00:00:00 UTC,7041,52160,,
2020-10-14 00:00:00 UTC,6778,46448,,
2020-10-15 00:00:00 UTC,7160,26083,,
2020-10-16 00:00:00 UTC,5873,64797,,
2020-10-17 00:00:00 UTC,4634,60533,,
2020-10-18 00:00:00 UTC,5046,35876,,
2020-10-19 00:00:00 UTC,7008,51895,,
2020-10-20 00:00:00 UTC,9280,35518,,
2020-10-21 00:00:00 UTC,8736,11100,,
2020-10-22 00:00:00 UTC,6158,24162,,
2020-10-23 00:00:00 UTC,5113,30379,,
2020-10-24 00:00:00 UTC,4125,60595,,
2020-10-25 00:00:00 UTC,5690,63124,,
2020-10-26 00:00:00 UTC,6535,40150,,
2020-10-27 00:00:00 UTC,6365,21592,,
2020-10-28 00:00:00 UTC,6106,56443,,
2020-10-29 00:00:00 UTC,6233,31139,,
2020-10-30 00:00:00 UTC,4923,49850,,
2020-10-31 00:00:00 UTC,4369,43206,,
2020-11-01 00:00:00 UTC,5150,10925,,
2020-11-02 00:00:00 UTC,7422,23241,,
2020-11-03 00:00:00 UTC,6344,40395,,
2020-11-04 00:00:00 UTC,6091,55357,,
2020-11-05 00:00:00 UTC,6097,52570,,
2020-11-06 00:00:00 UTC,5611,43034,,
2020-11-07 00:00:00 UTC,4266,15812,,
2020-11-08 00:00:00 UTC,5127,56899,,
2020-11-09 00:00:00 UTC,6495,43145,,
2020-11-10 00:00:00 UTC,7284,44469,,
2020-11-11 00:00:00 UTC,6723,47083,,
2020-11-12 00:00:00 UTC,6480,33175,,
2020-11-13 00:00:00 UTC,5428,33052,,
2020-11-14 00:00:00 UTC,5317,60568,,
2020-11-15 00:00:00 UTC,5375,20434,,
2020-11-16 00:00:00 UTC,6628,50541,,
2020-11-17 00:00:00 UTC,7022,57780,,
2020-11-18 00:00:00 UTC,6693,57313,,
2020-11-19 00:00:00 UTC,6450,19847,,
2020-11-20 00:00:00 UTC,5492,40310,,
2020-11-21 00:00:00 UTC,4601,42669,,
2020-11-22 00:00:00 UTC,5130,45271,,
2020-11-23 00:00:00 UTC,6422,65011,,
2020-11-24 00:00:00 UTC,5236,20922,,
2020-11-25 00:00:00 UTC,4776,39161,,
2020-11-26 00:00:00 UTC,3280,48690,,
2020-11-27 00:00:00 UTC,4914,5095,,
2020-11-28 00:00:00 UTC,4361,30154,,
2020-11-29 00:00:00 UTC,4663,9447,,
2020-11-30 00:00:00 UTC,8251,62340,,
2020-12-01 00:00:00 UTC,7549,7807,,
2020-12-02 00:00:00 UTC,5742,64837,,
2020-12-03 00:00:00 UTC,5258,35309,,
2020-12-04 00:00:00 UTC,4748,60166,,
2020-12-05 00:00:00 UTC,4099,36819,,
2020-12-06 00:00:00 UTC,4423,37762,,
2020-12-07 00:00:00 UTC,5400,60406,,
2020-12-08 00:00:00 UTC,5655,15989,,
2020-12-09 00:00:00 UTC,5026,33179,,
2020-12-10 00:00:00 UTC,4488,4693,,
2020-12-11 00:00:00 UTC,4364,36069,,
2020-12-12 00:00:00 UTC,3693,20960,,
2020-12-13 00:00:00 UTC,3961,15385,,
2020-12-14 00:00:00 UTC,5700,53979,,
